task,seed,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Medium,20274001,BE,8,0.001446985716415219,0.25442520249689465,0.14891398410860585,0.0028435419999368605
Medium,20274001,Gen2,8,0.01745334286067338,0.12867383203580293,0.07416798688139216,0.005972250000013446
Medium,20274001,MBLinear,2,0.20739120697596572,1.9181006247558903,0.8560625797768364,0.013211375000082626
Medium,20274001,MBQuadratic,8,0.00019328215625087964,0.0380003241785736,0.02020961895222784,0.061799750000318454
Medium,20274002,BE,8,0.0019076221611174882,0.1507118444034374,0.10718694402699533,0.002168999999867083
Medium,20274002,Gen2,8,0.023721763271224165,0.0782274467810639,0.05702039416750484,0.004783584000051633
Medium,20274002,MBLinear,1,0.2543115291150682,1.3423974697894299,0.6284096383182267,0.006977999999890017
Medium,20274002,MBQuadratic,8,0.000189309606460812,0.034103503434816516,0.021985673515045108,0.06236575000002631
Medium,20274003,BE,8,0.0015495165292801327,0.13112032237164548,0.0962170687655977,0.0022177089999786403
Medium,20274003,Gen2,8,0.022568091436927316,0.06284536206359792,0.04802826541446193,0.00558725000018967
Medium,20274003,MBLinear,1,0.25104729232619694,1.0684974498813768,0.5379515082680447,0.008852250000018103
Medium,20274003,MBQuadratic,8,0.00019214403228884266,0.031477631282649965,0.01818936161968502,0.06287908299964329
Medium,20274004,BE,8,0.0010992883359303965,0.15032084009949792,0.10159621914574185,0.0027313330001561553
Medium,20274004,Gen2,8,0.01688336634506099,0.08626920130203529,0.05580723431815,0.0049945830000979186
Medium,20274004,MBLinear,2,0.16055071667283147,1.167044212266908,0.5658780400906752,0.013693709000108356
Medium,20274004,MBQuadratic,8,0.00019175342389040248,0.02980862556055313,0.022066824361821124,0.061654332999751205
Medium,20274005,BE,8,0.0018992862551219306,0.18582183624366855,0.11623220065726025,0.0025962919999074074
Medium,20274005,Gen2,8,0.030040468878898854,0.10811194513628596,0.06552558927185033,0.004487874999995256
Medium,20274005,MBLinear,6,0.20855392102627027,1.195027571648254,0.5832922479942055,0.024953624999852764
Medium,20274005,MBQuadratic,8,0.00019721110811601506,0.06797932052979079,0.03216178281744264,0.05882383300013316
Medium,20274006,BE,8,0.0012478472854266706,0.33165872128748874,0.15689899610011512,0.0018494999999347783
Medium,20274006,Gen2,8,0.019093127574285104,0.16438289302144882,0.07898851634777254,0.004660374999730266
Medium,20274006,MBLinear,0,0.2368998292376907,2.298590431891864,0.9955843458317156,0.003580832999887207
Medium,20274006,MBQuadratic,8,0.00019336673438252521,0.028300989055636386,0.017896141809480057,0.05895508300000074
Medium,20274007,BE,8,0.0011161005295997038,0.16558219257296625,0.11131623759649065,0.002290333000019018
Medium,20274007,Gen2,8,0.015079122718085852,0.08888408159532243,0.06044703250097945,0.004697541000041383
Medium,20274007,MBLinear,8,0.11626842262497016,1.2387372252652935,0.5941624094441071,0.03151420900030644
Medium,20274007,MBQuadratic,8,0.00019488475159680607,0.04804109742551084,0.030665820460048912,0.06140204099983748
Medium,20274008,BE,8,0.001296940890944753,0.12896232553073003,0.09142956359809365,0.002580042000317917
Medium,20274008,Gen2,8,0.020417288085314234,0.08039852545721454,0.05260943848806754,0.006389707999915117
Medium,20274008,MBLinear,6,0.21397194309824025,0.9198729718760971,0.4623075658282145,0.025586291000308847
Medium,20274008,MBQuadratic,8,0.00019270655273936552,0.03931070787215285,0.024744909603547128,0.05682179199993698
Medium,20274009,BE,8,0.0009296273400276714,0.17339630918192303,0.12303516816226477,0.002199915999881341
Medium,20274009,Gen2,8,0.013910613265606254,0.09920034265944842,0.07099505658454275,0.004457417000139685
Medium,20274009,MBLinear,4,0.1217487494407731,1.2628045269875225,0.6200679357415345,0.019592917000409216
Medium,20274009,MBQuadratic,8,0.0001924685101358218,0.033488181249995363,0.022824098367339722,0.061167625000052794
Medium,20274010,BE,8,0.001658851668619496,0.12606601528987285,0.10681782776107891,0.0021530829999392154
Medium,20274010,Gen2,8,0.026200325400950984,0.06718805549037991,0.05531968541496926,0.0042734160001600685
Medium,20274010,MBLinear,8,0.1706514844632338,1.0874694896858785,0.5121548675918117,0.032766124999852764
Medium,20274010,MBQuadratic,8,0.00019166829319907074,0.028512569501531637,0.020285007101649644,0.05412849999993341
Medium,20274011,BE,8,0.0026277334749465592,0.22386592573905548,0.1697104046136361,0.0023302089998651354
Medium,20274011,Gen2,8,0.027309512291369152,0.10193012763671366,0.08049725410172379,0.004385332999845559
Medium,20274011,MBLinear,2,0.28543111222649376,0.9364492260613936,0.6056608454254003,0.013067041999875073
Medium,20274011,MBQuadratic,8,0.00019262775934980367,0.04671479629399664,0.030860690393023447,0.060363084000073286
Large,20275000,BE,8,0.012491378117715654,0.5946583961604202,0.3985685341466309,0.00564495899971007
Large,20275000,Gen2,8,0.15378865967136576,0.3200211136860814,0.20686474013018993,0.01566712500016365
Large,20275000,MBLinear,8,7.088683998945537,5.113194045300798,3.978084711902367,0.05232225000008839
Large,20275000,MBQuadratic,8,6.805249957903165,4.513379111874212,3.635226252500951,0.12849570800017318
Large,20275001,BE,8,0.012976303930022352,0.9104016415935559,0.4877249790713602,0.011930791000395402
Large,20275001,Gen2,8,0.16583354768693961,0.567356767062893,0.2840591237788807,0.01690220800037423
Large,20275001,MBLinear,8,5.2348294869301055,8.91187115488751,4.347842671327593,0.05615933299986864
Large,20275001,MBQuadratic,8,4.8540518216111295,8.943339590531558,4.333363909265837,0.12922837499991147
Large,20275002,BE,8,0.011489561184129027,0.5821150894198482,0.43521623275432514,0.012769334000040544
Large,20275002,Gen2,8,0.15517632264040335,0.3170167562240963,0.21637314906175636,0.02333341700023084
Large,20275002,MBLinear,4,7.214153657940888,4.329575201429233,2.358771700235071,0.02660862500033545
Large,20275002,MBQuadratic,8,6.968045656904574,3.952871425903163,2.1919747210501352,0.1356679579998854
Large,20275003,BE,8,0.012729352415019962,0.5919812276143908,0.40166136976216554,0.012993332999940321
Large,20275003,Gen2,8,0.1748178645903898,0.4395969080794856,0.26098322090394893,0.01821783300010793
Large,20275003,MBLinear,4,5.700917978400457,4.33422402331302,2.432521390884647,0.028826208999817027
Large,20275003,MBQuadratic,6,5.596239103965398,4.5383576246580235,2.5136068718944626,0.10810366599980625
Large,20275004,BE,8,0.01118769716661426,0.4858519558906367,0.4213860481223587,0.015819708999970317
Large,20275004,Gen2,8,0.15225369322988844,0.2757446349529764,0.22346271711247068,0.021727457999986655
Large,20275004,MBLinear,6,4.415194350443861,4.230126713410488,3.0847135354484605,0.039470875000006345
Large,20275004,MBQuadratic,8,4.2801888501585,4.076656659658382,3.0215733936341738,0.1339347089997318
Large,20275005,BE,8,0.012539386374044316,0.4555862730052556,0.3421557838001375,0.011116375000256085
Large,20275005,Gen2,8,0.16142205400210421,0.22289337430707068,0.1879224150228908,0.022959957999773906
