episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
320,0.0,3,0.06242420269021605,0.045100454421116286,0.2775165324108332,24,24
320,0.0,4,0.058378085944386385,0.04414422216593302,0.24382203609781225,24,24
320,0.0,5,0.07356664851392987,0.06345904118002356,0.13739388076095965,24,24
320,0.0,6,0.06432573032669939,0.051948765094161645,0.19241079999678593,24,24
320,0.0,7,0.06139526383290168,0.04466091028628973,0.2725674995412922,24,24
320,0.0,8,0.061942033445648255,0.04752600358196779,0.23273420425130173,24,24
320,0.0,9,0.07547205306609453,0.0588826181982814,0.21980897820925788,12,12
320,0.0,10,0.11361732630107677,0.06197326954502598,0.4545438485253402,12,24
320,0.0,11,0.0714692266543054,0.061586024732230835,0.1382861181621473,24,24
320,0.0,12,0.06113715351044685,0.0476404027740976,0.22076184384415262,24,24
320,0.0,13,0.06590644660959041,0.055212279366308264,0.16226284063880908,24,24
320,0.0,14,0.07019938462326836,0.05236243472507849,0.25408983275157676,24,24
320,0.0,15,0.05953658425050306,0.04688381008686452,0.21252099566883748,24,24
320,0.0,16,0.06222026050262987,0.05024338941771547,0.19249149695231776,24,24
320,0.0,17,0.06719136123339951,0.057081311332151295,0.1504665140825084,24,24
320,0.0,18,0.07086727444256836,0.06094091918451034,0.14006966312924105,24,24
320,0.0,19,0.06715336702851755,0.05300741616524463,0.21065140125089574,24,24
320,0.35,0,0.06069271007096217,0.04816805613851735,0.2063617511526663,24,24
320,0.35,1,0.06610152935147877,0.05048640702178764,0.23622936538520198,24,24
320,0.35,2,0.052647045326170185,0.039232415847877365,0.254803083348432,24,24
320,0.35,3,0.06527520269482041,0.04961767993491857,0.23986938551696396,24,24
320,0.35,4,0.06657529651611,0.04908871131446347,0.2626587655890514,24,24
320,0.35,5,0.07337921485373652,0.06116566332572438,0.16644429287444495,24,24
320,0.35,6,0.06539895690098617,0.04961332015678275,0.24137444222700413,24,24
320,0.35,7,0.10660325482586758,0.10195887655389581,0.04356694623966395,24,24
320,0.35,8,0.06812159597285733,0.054154696596512696,0.20502895119940623,24,24
