task,task_label,seed,mismatch_type,mismatch_level,mismatch_metric,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum_rich,Small,12,gain,0.0,0.19513084406688144,CTTDProxy,-1,8,0.02233600371347988,0.06366534496388315,0.04516543900879124,0.002258833992527798
small_pendulum_rich,Small,13,gain,0.0,0.1940169349326106,BE,-1,8,0.00162341763951329,0.10441697304772969,0.07195910916965205,0.002091750007821247
small_pendulum_rich,Small,13,gain,0.0,0.1940169349326106,Gen2,2,8,0.030045314377164206,0.0911898225752571,0.05872981467971635,0.006802917007007636
small_pendulum_rich,Small,13,gain,0.0,0.1940169349326106,CTTDProxy,-1,8,0.028096268072428043,0.06594708182624383,0.04594147250271289,0.002659167003002949
small_pendulum_rich,Small,14,gain,0.0,0.19497788768877208,BE,-1,8,0.0018546749180673905,0.17771674430559045,0.10146254050211442,0.002059209000435658
small_pendulum_rich,Small,14,gain,0.0,0.19497788768877208,Gen2,2,8,0.030750904460460873,0.18363235935350114,0.09712319528306806,0.004979374993126839
small_pendulum_rich,Small,14,gain,0.0,0.19497788768877208,CTTDProxy,-1,8,0.030787564974625696,0.08505977807386408,0.05115385345558913,0.0023904999980004504
small_pendulum_rich,Small,15,gain,0.0,0.19321444872282179,BE,-1,8,0.001052999364445933,0.12813348901291124,0.07999739493157032,0.0024419169931206852
small_pendulum_rich,Small,15,gain,0.0,0.19321444872282179,Gen2,2,8,0.01921596042610386,0.13003159372386158,0.0711998464154143,0.004726541010313667
small_pendulum_rich,Small,15,gain,0.0,0.19321444872282179,CTTDProxy,-1,8,0.018898837167753608,0.08652747420370906,0.051930446705847406,0.002483083007973619
small_pendulum_rich,Small,16,gain,0.0,0.19251795213382492,BE,-1,8,0.002130596618972164,0.08191011654531166,0.07446213781996165,0.002347750007174909
small_pendulum_rich,Small,16,gain,0.0,0.19251795213382492,Gen2,2,8,0.0353976618508365,0.07758525966131263,0.0620494328460964,0.004779582988703623
small_pendulum_rich,Small,16,gain,0.0,0.19251795213382492,CTTDProxy,-1,8,0.03451802297350464,0.07105446470651913,0.045505044440843904,0.0024614589929115027
small_pendulum_rich,Small,17,gain,0.0,0.1947685020540686,BE,-1,8,0.001249506913473466,0.09875201729793091,0.07734305557818043,0.002169625004171394
small_pendulum_rich,Small,17,gain,0.0,0.1947685020540686,Gen2,2,6,0.021989988962424715,0.08015339488092532,0.06146634441020464,0.00480516700190492
small_pendulum_rich,Small,17,gain,0.0,0.1947685020540686,CTTDProxy,-1,8,0.021877010494912363,0.0915048795696808,0.054733083445434455,0.002396292009507306
small_pendulum_rich,Small,18,gain,0.0,0.19813784871919418,BE,-1,8,0.0012325898626291561,0.12393164167977007,0.09150440968389374,0.003768333001062274
small_pendulum_rich,Small,18,gain,0.0,0.19813784871919418,Gen2,2,8,0.02214541386353826,0.12606114836373317,0.08543788477513879,0.00476645800517872
small_pendulum_rich,Small,18,gain,0.0,0.19813784871919418,CTTDProxy,-1,8,0.02142480580871196,0.07418962761126549,0.05301733436582489,0.003869457999826409
small_pendulum_rich,Small,19,gain,0.0,0.1932410010397198,BE,-1,8,0.0007907075556610044,0.10350466329397554,0.0711233816129701,0.0023078749945852906
small_pendulum_rich,Small,19,gain,0.0,0.1932410010397198,Gen2,2,8,0.014224610202301114,0.09688736737583317,0.0600454316038457,0.005089665995910764
small_pendulum_rich,Small,19,gain,0.0,0.1932410010397198,CTTDProxy,-1,8,0.01234509847709979,0.0634735173097356,0.04384493057502991,0.0025003750051837415
small_pendulum_rich,Small,0,gain,0.05,0.21531007581751632,BE,-1,8,0.0007516637665723018,0.11889739647654696,0.09087804411012265,0.0021133330010343343
small_pendulum_rich,Small,0,gain,0.05,0.21531007581751632,Gen2,2,8,0.014543895497500459,0.12442501470123045,0.08566446336602579,0.004832833001273684
small_pendulum_rich,Small,0,gain,0.05,0.21531007581751632,CTTDProxy,-1,8,0.012886771042084971,0.060664822449523106,0.049704612109748365,0.0023550409969175234
small_pendulum_rich,Small,1,gain,0.05,0.21343964313898883,BE,-1,8,0.0010988346658452749,0.09355349110596627,0.08178061630323132,0.002285541995661333
small_pendulum_rich,Small,1,gain,0.05,0.21343964313898883,Gen2,2,8,0.01970070771465813,0.09468928994266464,0.0747303070265337,0.005222833002335392
small_pendulum_rich,Small,1,gain,0.05,0.21343964313898883,CTTDProxy,-1,8,0.01970514768300801,0.0630943011233056,0.04832925494014097,0.0027169579989276826
small_pendulum_rich,Small,2,gain,0.05,0.21073192003217864,BE,-1,8,0.0008378985110869073,0.10825577122282039,0.08287519903818219,0.004583583999192342
small_pendulum_rich,Small,2,gain,0.05,0.21073192003217864,Gen2,2,8,0.014509472523716488,0.09592219523065956,0.07039318118598975,0.004429667009389959
small_pendulum_rich,Small,2,gain,0.05,0.21073192003217864,CTTDProxy,-1,8,0.01299808858376453,0.08181081024730111,0.05705204296739898,0.0025882499903673306
small_pendulum_rich,Small,3,gain,0.05,0.21271849776528956,BE,-1,8,0.0006433370362868967,0.11384503164975054,0.09431093986722025,0.0021253330050967634
small_pendulum_rich,Small,3,gain,0.05,0.21271849776528956,Gen2,2,8,0.011737091477033527,0.11726987169198379,0.08950462379585009,0.004911415991955437
small_pendulum_rich,Small,3,gain,0.05,0.21271849776528956,CTTDProxy,-1,8,0.009877034483566924,0.08271280664749575,0.06031986569192941,0.003121834000921808
small_pendulum_rich,Small,4,gain,0.05,0.21422132023797677,BE,-1,8,0.0018858542558105255,0.1286559649588321,0.08607058067457965,0.002350999988266267
