task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262131,Gen2,2,8,0.035974906384485805,0.06175388699703973,0.057213664142403066,0.0027152499997100676,0.0,Small,0.12,28
small_pendulum_rich,Small,20262131,Gen3,3,8,0.03645743978560807,0.1149054371623996,0.07071280982633849,0.003393958999822644,0.0,Small,0.12,28
small_pendulum_rich,Small,20262080,BE,-1,8,0.002372728248198195,0.08411100826853046,0.06730620022422502,0.0014922909999768308,0.0,Small,0.08,42
small_pendulum_rich,Small,20262080,Gen1,1,8,0.03160263403209326,0.05897198535661082,0.04609225684639061,0.003223124999749416,0.0,Small,0.08,42
small_pendulum_rich,Small,20262080,Gen2,2,8,0.03040120359346171,0.07634697223162638,0.060798744784108356,0.0030694580000272254,0.0,Small,0.08,42
small_pendulum_rich,Small,20262080,Gen3,3,8,0.030442305259332884,0.08426574699685495,0.07039555636714039,0.0036744580002050498,0.0,Small,0.08,42
small_pendulum_rich,Small,20262081,BE,-1,8,0.0020798808419808016,0.11971584910990286,0.07769048424175945,0.0015625000000909495,0.0,Small,0.08,42
small_pendulum_rich,Small,20262081,Gen1,1,8,0.026831394560082343,0.09662002952649151,0.05747477846617338,0.003273916999660287,0.0,Small,0.08,42
small_pendulum_rich,Small,20262081,Gen2,2,8,0.027837182836428564,0.12405116288345733,0.07348008361729547,0.003041791000214289,0.0,Small,0.08,42
small_pendulum_rich,Small,20262081,Gen3,3,8,0.02773436635625881,0.11508544297448939,0.0750475763232012,0.0030363749997377454,0.0,Small,0.08,42
small_pendulum_rich,Small,20262082,BE,-1,8,0.0016018931012231569,0.1054477559686726,0.06813443778026791,0.0018762909999168187,0.0,Small,0.08,42
small_pendulum_rich,Small,20262082,Gen1,1,8,0.019229800525410432,0.08407875332814546,0.04919027495167737,0.003077041000324243,0.0,Small,0.08,42
small_pendulum_rich,Small,20262082,Gen2,2,8,0.025368379432116603,0.10588485546610592,0.06145423535616165,0.00394266700004664,0.0,Small,0.08,42
small_pendulum_rich,Small,20262082,Gen3,3,8,0.02746667609572912,0.09854977850305109,0.06304822713197743,0.0030333330000757996,0.0,Small,0.08,42
small_pendulum_rich,Small,20262083,BE,-1,8,0.0029889422484001968,0.1120795623259822,0.07751216720174312,0.0015024999997876876,0.0,Small,0.08,42
small_pendulum_rich,Small,20262083,Gen1,1,4,0.03749934748860338,0.09364729426326786,0.062006838835997884,0.0045852080002077855,0.0,Small,0.08,42
small_pendulum_rich,Small,20262083,Gen2,2,8,0.03617214692205791,0.10380021540638051,0.06681808125507079,0.003061375000015687,0.0,Small,0.08,42
small_pendulum_rich,Small,20262083,Gen3,3,8,0.03532167802284929,0.10438769918142345,0.06882664688194183,0.0030877499998496205,0.0,Small,0.08,42
small_pendulum_rich,Small,20262084,BE,-1,8,0.002469713162850817,0.07968336023642342,0.06869325942261702,0.0018696249999266001,0.0,Small,0.08,42
small_pendulum_rich,Small,20262084,Gen1,1,8,0.031753698269823286,0.05733863126187589,0.048332359497157903,0.003056458000173734,0.0,Small,0.08,42
small_pendulum_rich,Small,20262084,Gen2,2,8,0.03640107348981336,0.08736053686104434,0.06396989422617287,0.0035705829996004468,0.0,Small,0.08,42
small_pendulum_rich,Small,20262084,Gen3,3,8,0.03572179603911373,0.1004466710307093,0.07042781284135552,0.0033684170002743485,0.0,Small,0.08,42
small_pendulum_rich,Small,20262085,BE,-1,8,0.0018963224049210004,0.0768382890582467,0.06184741329944949,0.0016272500001832668,0.0,Small,0.08,42
small_pendulum_rich,Small,20262085,Gen1,1,8,0.025871070325285943,0.05259391591104683,0.04166321451680132,0.0033729589999893506,0.0,Small,0.08,42
small_pendulum_rich,Small,20262085,Gen2,2,8,0.028888084065562595,0.06790688035123747,0.04845855981234624,0.004177959000116971,0.0,Small,0.08,42
small_pendulum_rich,Small,20262085,Gen3,3,8,0.028724959693193886,0.07777265462010027,0.053925376351917194,0.003288083000370534,0.0,Small,0.08,42
small_pendulum_rich,Small,20262086,BE,-1,8,0.0011192235892486144,0.09906891305497512,0.07280176295847972,0.0014965420000407903,0.0,Small,0.08,42
small_pendulum_rich,Small,20262086,Gen1,1,8,0.014552586279803718,0.07533237855234381,0.05256382540870745,0.003700249999837979,0.0,Small,0.08,42
small_pendulum_rich,Small,20262086,Gen2,2,8,0.01667804433543729,0.10636090821507546,0.0688154038978885,0.0047825419997025165,0.0,Small,0.08,42
small_pendulum_rich,Small,20262086,Gen3,3,8,0.01717157115223863,0.11885938020706961,0.07602594796966847,0.004890416999842273,0.0,Small,0.08,42
small_pendulum_rich,Small,20262087,BE,-1,8,0.0026204944697581414,0.12397931023104988,0.08151823183221905,0.0014871250000396685,0.0,Small,0.08,42
small_pendulum_rich,Small,20262087,Gen1,1,8,0.033276720558548085,0.09548657229154216,0.05732268490783941,0.0033195419996445708,0.0,Small,0.08,42
small_pendulum_rich,Small,20262087,Gen2,2,8,0.03243875856119073,0.13599652878424306,0.07932119596158678,0.003043249999791442,0.0,Small,0.08,42
small_pendulum_rich,Small,20262087,Gen3,3,8,0.03214925789666713,0.14721548807849433,0.08833610727398387,0.003912207999746897,0.0,Small,0.08,42
small_pendulum_rich,Small,20262088,BE,-1,2,0.003091182627695299,0.07815824232668801,0.05527524906425337,0.0014224999999896681,0.0,Small,0.08,42
small_pendulum_rich,Small,20262088,Gen1,1,1,0.033855991439059784,0.21913574108444217,0.12268914389639952,0.0027673329996105167,0.0,Small,0.08,42
small_pendulum_rich,Small,20262088,Gen2,2,2,0.039983791538126354,0.09624637739560427,0.06671351829266314,0.0034814589998859446,0.0,Small,0.08,42
small_pendulum_rich,Small,20262088,Gen3,3,4,0.043614554384185364,0.08718770244975649,0.053991528523790654,0.0027118749999317515,0.0,Small,0.08,42
small_pendulum_rich,Small,20262089,BE,-1,8,0.0018753914950858444,0.09492658353941318,0.068328057176588,0.0016457080000691349,0.0,Small,0.08,42
small_pendulum_rich,Small,20262089,Gen1,1,8,0.024029666610207022,0.07062204868430616,0.04794533279402427,0.003028209000149218,0.0,Small,0.08,42
small_pendulum_rich,Small,20262089,Gen2,2,8,0.023531347325266554,0.10379318643179515,0.06507436631755051,0.003357417000188434,0.0,Small,0.08,42
small_pendulum_rich,Small,20262089,Gen3,3,8,0.023446113913650146,0.11518285345402335,0.0727257539283401,0.0033179580000251008,0.0,Small,0.08,42
small_pendulum_rich,Small,20262090,BE,-1,1,0.0028280194122530487,0.08644648173186446,0.059790033630166946,0.0013462910001180717,0.0,Small,0.08,42
small_pendulum_rich,Small,20262090,Gen1,1,1,0.026767422881860615,0.3180409886608118,0.1570472916348254,0.0028579170002558385,0.0,Small,0.08,42
small_pendulum_rich,Small,20262090,Gen2,2,2,0.03681317616112063,0.16803490327444892,0.09126318923913432,0.003252708000218263,0.0,Small,0.08,42
small_pendulum_rich,Small,20262090,Gen3,3,8,0.04160805075288532,0.12478798492413952,0.08267757449880729,0.002954707999833772,0.0,Small,0.08,42
small_pendulum_rich,Small,20262091,BE,-1,8,0.0035870573306194063,0.09879349765564227,0.07423549068879379,0.0015009160001682176,0.0,Small,0.08,42
small_pendulum_rich,Small,20262091,Gen1,1,0,0.04513036820329001,0.3720507945861669,0.18414714544560787,0.002152042000034271,0.0,Small,0.08,42
small_pendulum_rich,Small,20262091,Gen2,2,8,0.05220728676755708,0.10146481325879315,0.06943312217888417,0.003132499999992433,0.0,Small,0.08,42
