task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
small_pendulum_reduced,Small,20266126,BE,-1,8,0.002726318579340796,0.7430581579376683,0.3864922052642873,0.0013624159996652452,0.0,reduced,Small
small_pendulum_reduced,Small,20266126,Gen2,2,8,0.04513876555572077,0.718813790032677,0.37778005496374595,0.0026243339998472948,0.0,reduced,Small
small_pendulum_reduced,Small,20266143,BE,-1,8,0.0022983817718874163,0.7890873294635037,0.39334094319701807,0.0013674169999831065,0.0,reduced,Small
small_pendulum_reduced,Small,20266143,Gen2,2,8,0.0366330580714575,0.7624215596054306,0.3836807378893332,0.0028173750001769804,0.0,reduced,Small
small_pendulum_reduced,Small,20266160,BE,-1,4,0.0021008725074137475,0.647929841668883,0.37620376676453815,0.0012784999998984858,0.0,reduced,Small
small_pendulum_reduced,Small,20266160,Gen2,2,6,0.03614951444739636,0.6311257537879437,0.3718181474437402,0.0028258329998607223,0.0,reduced,Small
small_pendulum_reduced,Small,20266177,BE,-1,8,0.0019714602750665914,0.6290963252149906,0.31445516562261805,0.0013516670001081366,0.0,reduced,Small
small_pendulum_reduced,Small,20266177,Gen2,2,8,0.031523698883135574,0.6102793350586274,0.30645778654483985,0.0027975829998467816,0.0,reduced,Small
small_pendulum_reduced,Small,20266194,BE,-1,8,0.0036442852455130666,0.6776170785506541,0.35925346502587047,0.0012906249999105057,0.0,reduced,Small
small_pendulum_reduced,Small,20266194,Gen2,2,8,0.05759343044959049,0.6476316833185336,0.34836394452293357,0.002691249999770662,0.0,reduced,Small
small_pendulum_linear,Small,20266006,BE,-1,8,0.0011601311795185834,0.8319274501726125,0.3979897110918196,0.001431250000223372,0.0,linear,Small
small_pendulum_linear,Small,20266006,Gen2,2,8,0.019336706815423783,0.8319367539833402,0.3977495679222079,0.002751917000296089,0.0,linear,Small
small_pendulum_linear,Small,20266023,BE,-1,8,0.004788736352072976,0.7740390046894505,0.3667104073216838,0.001272875000267959,0.0,linear,Small
small_pendulum_linear,Small,20266023,Gen2,2,8,0.08134168884738963,0.771639558379173,0.36529991894942915,0.002685459000076662,0.0,linear,Small
small_pendulum_linear,Small,20266040,BE,-1,8,0.0011407397715111206,0.8911096980220553,0.41886006182345337,0.0012445000002117013,0.0,linear,Small
small_pendulum_linear,Small,20266040,Gen2,2,8,0.01902733141846451,0.8895818855171014,0.4182130293221731,0.002612582999972801,0.0,linear,Small
small_pendulum_linear,Small,20266057,BE,-1,8,0.0021407694143236026,0.8162496252491965,0.3936700188477453,0.0014269169996623532,0.0,linear,Small
small_pendulum_linear,Small,20266057,Gen2,2,8,0.03607456271638777,0.8123875502487655,0.39238296542058415,0.002632459000324161,0.0,linear,Small
small_pendulum_linear,Small,20266074,BE,-1,8,0.0034234420912905156,0.7973151415120027,0.3919375865381135,0.001423832999989827,0.0,linear,Small
small_pendulum_linear,Small,20266074,Gen2,2,8,0.05767483961485302,0.7831399747586096,0.38659526902462227,0.002551166999637644,0.0,linear,Small
small_pendulum_linear,Small,20266091,BE,-1,8,0.0025033988481137767,0.6435178717531546,0.3347404094419534,0.0013508329998330737,0.0,linear,Small
small_pendulum_linear,Small,20266091,Gen2,2,8,0.04233910697044267,0.6467249430560642,0.336733699447156,0.0026258750003762543,0.0,linear,Small
small_pendulum_linear,Small,20266108,BE,-1,8,0.0011727145836598514,0.7511262985854515,0.3738766622539437,0.0014012499996169936,0.0,linear,Small
small_pendulum_linear,Small,20266108,Gen2,2,8,0.019567362137670873,0.7517843930233933,0.37362008014898307,0.0028566249998220883,0.0,linear,Small
small_pendulum_linear,Small,20266125,BE,-1,8,0.005286578396376093,0.8032568273395694,0.3769284482964679,0.001325042000189569,0.0,linear,Small
small_pendulum_linear,Small,20266125,Gen2,2,8,0.08950772681456978,0.8046473709095451,0.3760318684283926,0.002872083000056591,0.0,linear,Small
small_pendulum_linear,Small,20266142,BE,-1,8,0.001059432719880782,0.7686509604903695,0.4087732489350949,0.0013244169999779842,0.0,linear,Small
small_pendulum_linear,Small,20266142,Gen2,2,8,0.018273223124979768,0.764660426159393,0.40815325908058947,0.002693459000056464,0.0,linear,Small
small_pendulum_linear,Small,20266159,BE,-1,8,0.004252938881880297,0.7829595461505466,0.3871089760604999,0.001262374999896565,0.0,linear,Small
small_pendulum_linear,Small,20266159,Gen2,2,8,0.07176857662349871,0.7820548306583274,0.38607294687490795,0.0026327080004193704,0.0,linear,Small
small_pendulum_linear,Small,20266176,BE,-1,8,0.009542595050876882,0.8125403412168631,0.38931223725229763,0.0012589580001076683,0.0,linear,Small
small_pendulum_linear,Small,20266176,Gen2,2,8,0.16144292422874798,0.8164505008702351,0.3901500617404682,0.002766832999895996,0.0,linear,Small
small_pendulum_linear,Small,20266193,BE,-1,8,0.0038249513705623872,0.636067833202535,0.34953319008440964,0.0013392089999797463,0.0,linear,Small
small_pendulum_linear,Small,20266193,Gen2,2,8,0.06467872082241412,0.6322508787573609,0.3485682478330868,0.002854999999726715,0.0,linear,Small
medium_cartpole_like_quadratic,Medium,20267009,BE,-1,8,0.0008858254049196708,0.14786887084627653,0.09596741693119475,0.0015819589998500305,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267009,Gen2,2,8,0.012746876701550653,0.07029826975733866,0.04882422189308866,0.003236415999708697,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267026,BE,-1,8,0.0012612276836213912,0.17427754474260393,0.11570840425980107,0.0014857910000500851,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267026,Gen2,2,8,0.022588742164670095,0.09492327497479071,0.06678887544068825,0.003179166999871086,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267043,BE,-1,8,0.0016332006810686353,0.1516286256792454,0.13267950960965266,0.0015608749999955762,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267043,Gen2,2,8,0.01845452741909684,0.09195972690941637,0.07464578648899307,0.0031215839999276795,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267060,BE,-1,8,0.0012464931413881401,0.17495876952896558,0.10614630595702401,0.001626583999950526,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267060,Gen2,2,8,0.016935581303489433,0.08761787232896207,0.054714889305779404,0.003212416999758716,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267077,BE,-1,8,0.001494068999945986,0.37648365842171455,0.20123669328691618,0.0015617920003023755,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267077,Gen2,2,8,0.02108369971514005,0.18065738850007043,0.09770448358662637,0.003192041000147583,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267094,BE,-1,8,0.0015551304307567552,0.1370268495698714,0.10372612063326464,0.0014541670002472529,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267094,Gen2,2,8,0.020946119473557023,0.0842421736676567,0.05977663437630282,0.00320587499982139,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267111,BE,-1,8,0.001255457094918982,0.19904352655680416,0.13245692634284323,0.0015834579999136622,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267111,Gen2,2,8,0.01671472965301612,0.08084801928038388,0.06488758389655354,0.0033380419999957667,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267128,BE,-1,8,0.002048671022246743,0.22332923870657473,0.15810132446968017,0.0015364170003522304,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267128,Gen2,2,8,0.02607592108552003,0.10962303677806214,0.07033850258056253,0.0030525419997502468,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267145,BE,-1,8,0.001313879476910585,0.22114475655520718,0.1267286329116227,0.0014585419999093574,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267145,Gen2,2,8,0.02047470391208112,0.11082193976003311,0.06583614665184907,0.0030328750003718596,0.0,quadratic,Medium
