time_index,time,bandwidth_steps,min_eig,max_eig,cond,task,seed
4,0.24,8,2.2235474420303477e-05,20.051645257685124,901786.2573409149,Small,0
5,0.3,8,2.026437985540729e-05,21.69587638203014,1070641.0231567423,Small,0
6,0.36,8,1.849955671741581e-05,22.84654217223746,1234977.8171024672,Small,0
7,0.42,8,1.6568743979375788e-05,23.36547214486064,1410213.8444498382,Small,0
8,0.48,8,1.4019225995289291e-05,23.18019727860068,1653457.707750031,Small,0
9,0.54,8,1.0061140490795776e-05,22.302850543891843,2216731.8470798754,Small,0
10,0.6,8,6.11943853424616e-06,20.58797534169286,3364356.9138698843,Small,0
11,0.6599999999999999,8,3.138395299066632e-06,18.26130301532328,5818675.238506202,Small,0
12,0.72,8,1.5596981729153284e-06,15.594828111568015,9998619.208752906,Small,0
13,0.78,8,1.0196460714799345e-06,12.859978788232112,12612198.63238122,Small,0
14,0.84,8,9.248920397502118e-07,10.297918651263615,11134184.541197697,Small,0
15,0.8999999999999999,8,9.321020104303266e-07,8.105635610111722,8696082.10196818,Small,0
16,0.96,8,9.277338256825143e-07,6.423874775275805,6924264.910304305,Small,0
17,1.02,8,8.864243151542368e-07,5.313817757479854,5994666.060751341,Small,0
18,1.08,8,8.135214770450317e-07,4.733113177661656,5818055.590681916,Small,0
19,1.14,8,7.212064412898738e-07,4.547150475535861,6304922.16265194,Small,0
20,1.2,8,6.182304188320544e-07,4.592070880768612,7427765.992886339,Small,0
21,1.26,8,5.19523749261998e-07,4.718434547762529,9082230.705459055,Small,0
22,1.3199999999999998,8,4.40202840462238e-07,4.8068995902719465,10919737.785481866,Small,0
23,1.38,8,3.734656386288709e-07,4.779022583933071,12796418.437526442,Small,0
24,1.44,8,2.966954216157228e-07,4.60292207002221,15513963.93296514,Small,0
25,1.5,8,2.0308827416792795e-07,4.291425348756292,21130837.6435748,Small,0
26,1.56,8,1.1396310793483666e-07,3.8864853432566973,34103012.92835014,Small,0
27,1.6199999999999999,8,5.464423152312214e-08,3.4445297850234318,63035560.91855578,Small,0
28,1.68,8,2.793135641194426e-08,3.0251194031190014,108305495.74833295,Small,0
29,1.74,8,2.0090223106872382e-08,2.6805172713781595,133423967.3257396,Small,0
30,1.7999999999999998,8,1.8696004688235517e-08,2.439916252506407,130504687.66953868,Small,0
31,1.8599999999999999,8,1.8230768309792988e-08,2.297731777102873,126035926.63006993,Small,0
32,1.92,8,1.7211707138720185e-08,2.2266540736529308,129368577.77714306,Small,0
33,1.98,8,1.5643685282359597e-08,2.19998195535945,140630670.82027224,Small,0
34,2.04,8,1.3791645578549254e-08,2.1984869446328528,159407152.11332396,Small,0
35,2.1,8,1.1848774977373786e-08,2.2084374276916034,186385295.68742734,Small,0
36,2.16,8,1.0103428781440582e-08,2.2188233747522523,219610928.40364286,Small,0
37,2.2199999999999998,8,8.733551656094998e-09,2.2210312453343306,254310197.36218202,Small,0
38,2.28,8,7.4264812910444565e-09,2.209919487071601,297572888.21780616,Small,0
39,2.34,8,5.743420063666682e-09,2.18535567756221,380497273.9826116,Small,0
40,2.4,8,3.7686965287644594e-09,2.1513869296072126,570857035.8973769,Small,0
41,2.46,8,2.0714873969506126e-09,2.114064131699391,1020553702.0459089,Small,0
42,2.52,8,1.0554136412365271e-09,2.079115784512237,1969953488.6400902,Small,0
43,2.58,8,6.315037456854922e-10,2.0504383528426873,3246913999.8796887,Small,0
44,2.6399999999999997,8,5.088951350726841e-10,2.029615599805223,3988278645.0991297,Small,0
45,2.6999999999999997,8,4.867113337723762e-10,2.0163302083548835,4142764033.71752,Small,0
46,2.76,8,4.759037248698737e-10,2.0092332198049445,4221932115.2704344,Small,0
47,2.82,8,4.5193096132472313e-10,2.006806106360356,4440514764.639943,Small,0
48,2.88,8,4.1825615460501484e-10,2.007554766946044,4799821221.619326,Small,0
49,2.94,8,3.7563364128288497e-10,2.010485371125121,5352250571.218273,Small,0
50,3.0,8,3.2409591967217764e-10,2.0148225864047693,6216747771.594157,Small,0
