task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,behavior_gain_bias
small_pendulum_rich,Small,20265026,MBLinear,-1,2,0.10055477724984903,0.80685281955223,0.36754842937759685,0.005286957999942388,0.2,0.2
small_pendulum_rich,Small,20264027,BE,-1,8,0.0016100429394547765,0.09836691836118217,0.07490249842725438,0.0012970839998160955,0.2,0.2
small_pendulum_rich,Small,20264027,Gen2,2,4,0.02778182962822068,0.11054099179896794,0.07302409204718938,0.0025986670002566825,0.2,0.2
small_pendulum_rich,Small,20265027,MBLinear,-1,1,0.1047944140984922,0.8428014165109798,0.39861480345933764,0.003674208999655093,0.2,0.2
small_pendulum_rich,Small,20264028,BE,-1,6,0.0013551939068211349,0.1270265337768694,0.07918515219155617,0.0012823749998460698,0.2,0.2
small_pendulum_rich,Small,20264028,Gen2,2,6,0.02187283325388688,0.14218288791078335,0.0819445179566596,0.00259612499985451,0.2,0.2
small_pendulum_rich,Small,20265028,MBLinear,-1,2,0.1095524917885271,0.7208267271236505,0.3342883497228843,0.00508620799973869,0.2,0.2
small_pendulum_rich,Small,20264029,BE,-1,8,0.0011286181963957383,0.20210361402157573,0.10736426894199963,0.0013652090001414763,0.2,0.2
small_pendulum_rich,Small,20264029,Gen2,2,8,0.019637400534691433,0.2223889000350398,0.11287957394460617,0.0027344160002940043,0.2,0.2
small_pendulum_rich,Small,20265029,MBLinear,-1,1,0.10069029070386407,0.8085264437440415,0.35689558990520176,0.0036942920000910817,0.2,0.2
small_pendulum_rich,Small,20264030,BE,-1,8,0.0008177649722634466,0.18773030088632842,0.09915630475183279,0.00134479200005444,0.2,0.2
small_pendulum_rich,Small,20264030,Gen2,2,8,0.013897849994437135,0.2101098416081074,0.10555774255976691,0.002782250000109343,0.2,0.2
small_pendulum_rich,Small,20265030,MBLinear,-1,1,0.10633693854146735,0.665366741918859,0.3112376034602102,0.004058374999658554,0.2,0.2
small_pendulum_rich,Small,20264031,BE,-1,8,0.0006924184630053139,0.14235447321831812,0.08872031179350136,0.0013677089996235736,0.2,0.2
small_pendulum_rich,Small,20264031,Gen2,2,8,0.01152061534274766,0.1563773038697988,0.0914822965762275,0.0027906670002266765,0.2,0.2
small_pendulum_rich,Small,20265031,MBLinear,-1,1,0.12802153209966513,0.7080269620913361,0.333385515821465,0.003655375000107597,0.2,0.2
small_pendulum_rich,Small,20264035,BE,-1,8,0.0008448212099025339,0.1761877100056617,0.08923320016435066,0.001450290999855497,0.35,0.35
small_pendulum_rich,Small,20264035,Gen2,2,8,0.014784723720959394,0.1945208957576284,0.09461092665280509,0.0028602500001397857,0.35,0.35
small_pendulum_rich,Small,20265035,MBLinear,-1,2,0.08847592827470772,0.6884122462458899,0.3222213125924198,0.005331458000000566,0.35,0.35
small_pendulum_rich,Small,20264036,BE,-1,8,0.0018549880208035695,0.24733962616743926,0.13931153619237607,0.002803291999953217,0.35,0.35
small_pendulum_rich,Small,20264036,Gen2,2,8,0.02989268287406529,0.2660019970719917,0.14725433153950881,0.0031852500001150474,0.35,0.35
small_pendulum_rich,Small,20265036,MBLinear,-1,4,0.09551196595328575,0.7604762021310189,0.3680085252876254,0.010654917000010755,0.35,0.35
small_pendulum_rich,Small,20264037,BE,-1,8,0.0008875493941702177,0.1693639755280089,0.09196055171843871,0.0015465000001313456,0.35,0.35
small_pendulum_rich,Small,20264037,Gen2,2,8,0.017347590905736333,0.18531033882941414,0.09701664325458836,0.0031758340001033503,0.35,0.35
small_pendulum_rich,Small,20265037,MBLinear,-1,4,0.10163444742464715,0.6583069120716779,0.3085384777490115,0.009032292000028974,0.35,0.35
small_pendulum_rich,Small,20264038,BE,-1,8,0.0006000096658446962,0.2542707701566451,0.12806896962996878,0.001412624999829859,0.35,0.35
small_pendulum_rich,Small,20264038,Gen2,2,8,0.010559143973040124,0.2763272692806383,0.13589091701295078,0.0029203330000200367,0.35,0.35
small_pendulum_rich,Small,20265038,MBLinear,-1,1,0.10743533244986544,0.6591158007887549,0.3057166625011653,0.005030541999985871,0.35,0.35
small_pendulum_rich,Small,20264039,BE,-1,8,0.0007696157132110375,0.23543871793621174,0.1285651576725553,0.0016291249999085267,0.35,0.35
small_pendulum_rich,Small,20264039,Gen2,2,8,0.013740691214413948,0.2565083076534785,0.13603470033004014,0.0039056250002431625,0.35,0.35
small_pendulum_rich,Small,20265039,MBLinear,-1,1,0.10683048672769309,0.7652906981579863,0.34163267497356314,0.004480250000142405,0.35,0.35
small_pendulum_rich,Small,20264040,BE,-1,8,0.0012193443185385042,0.1715740848008031,0.08780732781377042,0.001941832999818871,0.35,0.35
small_pendulum_rich,Small,20264040,Gen2,2,8,0.024008424851024647,0.18676216543508709,0.09310536309220364,0.003906458000074053,0.35,0.35
small_pendulum_rich,Small,20265040,MBLinear,-1,1,0.0983258900158589,0.7570556805723382,0.34131920628076623,0.006046208000043407,0.35,0.35
small_pendulum_rich,Small,20264041,BE,-1,8,0.0014471594050485287,0.24374386406066248,0.1254123865391384,0.0018482079999557754,0.35,0.35
small_pendulum_rich,Small,20264041,Gen2,2,4,0.02685685084160772,0.26608353543766766,0.1329586550504634,0.002778125000077125,0.35,0.35
small_pendulum_rich,Small,20265041,MBLinear,-1,1,0.102504354690573,0.8899686260365717,0.39852189890720674,0.0049658339999041345,0.35,0.35
small_pendulum_rich,Small,20264042,BE,-1,8,0.0008363145386134373,0.17996592273734613,0.10466303721996378,0.0019624999999905413,0.35,0.35
small_pendulum_rich,Small,20264042,Gen2,2,8,0.013999938276239954,0.19655191439753825,0.10956819362092203,0.004169584000010218,0.35,0.35
small_pendulum_rich,Small,20265042,MBLinear,-1,1,0.12546703208920532,0.7412423252389719,0.3371967699725898,0.006117291999998997,0.35,0.35
small_pendulum_rich,Small,20264043,BE,-1,8,0.0007906996863209522,0.2236657592433925,0.1171572142191589,0.0020909579998260597,0.35,0.35
small_pendulum_rich,Small,20264043,Gen2,2,8,0.014568923468898059,0.23921424824253518,0.12242593201763012,0.003402583000024606,0.35,0.35
small_pendulum_rich,Small,20265043,MBLinear,-1,1,0.09246011156916437,0.5797685589893715,0.27453912593523866,0.006259540999963065,0.35,0.35
small_pendulum_rich,Small,20264044,BE,-1,8,0.001131732161659179,0.23355609050850415,0.1209775107775628,0.0014969580001888971,0.35,0.35
small_pendulum_rich,Small,20264044,Gen2,2,8,0.021760576448623406,0.2546849671765195,0.12864125580255106,0.0032841249999364663,0.35,0.35
small_pendulum_rich,Small,20265044,MBLinear,-1,2,0.08843726994546104,0.7951740344424412,0.3458875942470187,0.0061664580002798175,0.35,0.35
small_pendulum_rich,Small,20264045,BE,-1,8,0.0010419675569447245,0.2334790925655393,0.1147597625313197,0.0014710420000483282,0.35,0.35
small_pendulum_rich,Small,20264045,Gen2,2,8,0.017704428900501615,0.2556409417358042,0.12211665946116423,0.004366166000181693,0.35,0.35
small_pendulum_rich,Small,20265045,MBLinear,-1,4,0.09940546733718546,0.8273840509324256,0.3625601813461948,0.01074483299998974,0.35,0.35
small_pendulum_rich,Small,20264046,BE,-1,8,0.0016754228150472638,0.172842182343063,0.09858733195476076,0.0015577909998683026,0.35,0.35
small_pendulum_rich,Small,20264046,Gen2,2,8,0.028635816478786748,0.19281227876169088,0.10614697330018165,0.0032093330000861897,0.35,0.35
small_pendulum_rich,Small,20265046,MBLinear,-1,4,0.10907980571728104,0.7740793171184449,0.349779656684,0.009932958999797847,0.35,0.35
small_pendulum_rich,Small,20264050,BE,-1,8,0.0020686667117981775,0.1996407688689042,0.10251801406477931,0.0015300000000024738,0.5,0.5
small_pendulum_rich,Small,20264050,Gen2,2,8,0.03594016254105714,0.21622704517086835,0.10844593388498844,0.004010250000192173,0.5,0.5
small_pendulum_rich,Small,20265050,MBLinear,-1,2,0.10020870704711626,0.8222880603313397,0.36159782930934514,0.007040957999834063,0.5,0.5
small_pendulum_rich,Small,20264051,BE,-1,8,0.0010828594551521135,0.23478013863035213,0.12560350309496035,0.0014860829996905522,0.5,0.5
small_pendulum_rich,Small,20264051,Gen2,2,8,0.01843422989143063,0.2538628741680866,0.13371906502562309,0.0031602919998476864,0.5,0.5
small_pendulum_rich,Small,20265051,MBLinear,-1,2,0.10016721131650051,0.6667094241890446,0.3005852311554891,0.006110541999987618,0.5,0.5
small_pendulum_rich,Small,20264052,BE,-1,8,0.0009776359952223964,0.26539661377228047,0.1236390175254596,0.0014549590000569879,0.5,0.5
small_pendulum_rich,Small,20264052,Gen2,2,8,0.018155421013853167,0.28383533373499953,0.13092107866500602,0.0031691250001131266,0.5,0.5
small_pendulum_rich,Small,20265052,MBLinear,-1,4,0.10020649969236566,0.6305039536808209,0.28318175919584865,0.010370208000040293,0.5,0.5
small_pendulum_rich,Small,20264053,BE,-1,8,0.000785546052379246,0.25819329526333445,0.12464509301130086,0.001641708000079234,0.5,0.5
small_pendulum_rich,Small,20264053,Gen2,2,8,0.01369403843475412,0.27807114556089535,0.13161878420757753,0.0034384579998913978,0.5,0.5
small_pendulum_rich,Small,20265053,MBLinear,-1,4,0.09731682979131644,0.6785801912773122,0.31349366552835994,0.010793749999720603,0.5,0.5
small_pendulum_rich,Small,20264054,BE,-1,8,0.0009309750703233432,0.353180737199227,0.16484702542242266,0.0016232089997174626,0.5,0.5
small_pendulum_rich,Small,20264054,Gen2,2,8,0.016516769739508302,0.3772085300552095,0.17467997301815966,0.0032444590001432516,0.5,0.5
small_pendulum_rich,Small,20265054,MBLinear,-1,2,0.11843378766707145,0.8608819345006189,0.3727263185762313,0.006149874999664462,0.5,0.5
small_pendulum_rich,Small,20264055,BE,-1,8,0.0005866892381307661,0.24390600644317859,0.12017312973171423,0.0017305000001215376,0.5,0.5
small_pendulum_rich,Small,20264055,Gen2,2,8,0.010895139492786879,0.2616966258338539,0.1266853885294578,0.003636708000158251,0.5,0.5
small_pendulum_rich,Small,20265055,MBLinear,-1,1,0.07902207117415617,0.7391497168801558,0.32661887620247454,0.004662667000047804,0.5,0.5
small_pendulum_rich,Small,20264056,BE,-1,8,0.00098546438310314,0.30010723866379807,0.13614345751586332,0.002121666999755689,0.5,0.5
small_pendulum_rich,Small,20264056,Gen2,2,8,0.019234760795966258,0.31955885214232466,0.14346291287833818,0.003053875000205153,0.5,0.5
small_pendulum_rich,Small,20265056,MBLinear,-1,2,0.08886841993765505,0.7459732698426651,0.33114518451947794,0.007026417000361107,0.5,0.5
small_pendulum_rich,Small,20264057,BE,-1,8,0.0007408470671700359,0.327018287120552,0.15224245703688027,0.001498666999850684,0.5,0.5
small_pendulum_rich,Small,20264057,Gen2,2,8,0.012824328993723889,0.3500198660017289,0.16131035917800807,0.0031615419998161087,0.5,0.5
small_pendulum_rich,Small,20265057,MBLinear,-1,4,0.10195574388409133,0.7243768977197599,0.314521578368325,0.009648749999996653,0.5,0.5
