method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
Gen3,3,12,0.013070666539927984,0.06598701727798484,0.049916195891717356,0.0025707080058055,Small,0.12,32
BE,-1,24,0.0016035242312122146,0.060667205793964736,0.03820400973594226,0.001343083000392653,Small,0.12,32
Gen1,1,24,0.012243654459100743,0.046780065910405746,0.029864472696520587,0.00279408399364911,Small,0.12,32
Gen2,2,24,0.014990545212885734,0.0676129665302805,0.03752299539603095,0.00310400000307709,Small,0.12,32
Gen3,3,16,0.017983394864060198,0.11699015958267842,0.060413884878879824,0.0027443750004749745,Small,0.12,32
BE,-1,16,0.0015970636431250598,0.06991482972701787,0.04852400128398942,0.0012741669925162569,Small,0.12,32
Gen1,1,24,0.01357784361287143,0.04543989909970567,0.029009931912068656,0.002733750006882474,Small,0.12,32
Gen2,2,24,0.012931865199047689,0.054455898664336845,0.03651804336245451,0.0026873750030063093,Small,0.12,32
Gen3,3,16,0.012206304848438326,0.0846777374920975,0.05858961481169469,0.0030485840106848627,Small,0.12,32
BE,-1,24,0.0014586530370858206,0.05883003561260202,0.0380281084917265,0.0019020410109078512,Small,0.12,32
Gen1,1,24,0.011316164927958242,0.047879754292051394,0.02912881351215356,0.0035692079982254654,Small,0.12,32
Gen2,2,24,0.012807259878763416,0.06961109056082887,0.03507207212216051,0.0026535419892752543,Small,0.12,32
Gen3,3,24,0.01472041476127907,0.13420058480484812,0.07169609731122711,0.002743499993812293,Small,0.12,32
BE,-1,24,0.001220807772739552,0.0662080101314104,0.04037361157520285,0.001436417005606927,Small,0.12,32
Gen1,1,24,0.008758971658680885,0.05260942895002557,0.03139974614140545,0.0036124579928582534,Small,0.12,32
Gen2,2,24,0.009229051892683904,0.05926236698338473,0.03747602340504857,0.002794791987980716,Small,0.12,32
Gen3,3,16,0.00982852263094879,0.11122567172450855,0.06312203818042182,0.0027889579941984266,Small,0.12,32
BE,-1,16,0.0041721994540622745,0.061812706012642445,0.041291019535419804,0.0014321670023491606,Small,0.12,32
Gen1,1,0,0.020290545798018287,0.40230013071443305,0.18992054627692656,0.0023000000073807314,Small,0.12,32
Gen2,2,0,0.029477761332402267,0.37922620815489877,0.1826100830686194,0.0018711249867919832,Small,0.12,32
Gen3,3,12,0.03195912343554007,0.08916381094952863,0.05758575518869705,0.003635957997175865,Small,0.12,32
BE,-1,24,0.001026207487587173,0.070369685272675,0.04796285514901914,0.0017302499909419566,Small,0.08,42
Gen1,1,24,0.01146923442928648,0.04680741945706304,0.03093900440359272,0.004079083009855822,Small,0.08,42
Gen2,2,24,0.01291655435458859,0.046991514083906887,0.03125516513694393,0.0036772500025108457,Small,0.08,42
Gen3,3,24,0.013598599787936561,0.07489599577059802,0.04688646342948652,0.0036180839961161837,Small,0.08,42
BE,-1,24,0.0012833855373616929,0.062385613414893584,0.04738373518149589,0.0016574580076849088,Small,0.08,42
Gen1,1,24,0.015283354196877274,0.042935939810154894,0.03555197003519333,0.004049541996209882,Small,0.08,42
Gen2,2,24,0.01773163022915318,0.053590018665403936,0.044647894532916836,0.003639207992819138,Small,0.08,42
Gen3,3,24,0.018853841259578945,0.05777979631732667,0.040324345562030225,0.004649916008929722,Small,0.08,42
BE,-1,24,0.0007457274109893335,0.06729389504140208,0.04758522840131622,0.0024874999944586307,Small,0.08,42
Gen1,1,24,0.008161602031271295,0.05496867714240385,0.03622166953479779,0.003584167003282346,Small,0.08,42
Gen2,2,24,0.0110255046180042,0.06976700146543514,0.04249182969122422,0.00440941599663347,Small,0.08,42
Gen3,3,24,0.012493052925221593,0.06262712017724284,0.04053767985864368,0.0035584169963840395,Small,0.08,42
BE,-1,6,0.001780557913667252,0.09051654357147879,0.07215485804838619,0.00202004199672956,Small,0.08,42
Gen1,1,4,0.02278016555121302,0.06630950492238116,0.058855785789508036,0.004811042002984323,Small,0.08,42
Gen2,2,8,0.022914459255121162,0.0735564802915145,0.06492194377505334,0.003340417009894736,Small,0.08,42
Gen3,3,12,0.022582464961207017,0.07303940302958274,0.05882936041162064,0.0033736670011421666,Small,0.08,42
BE,-1,24,0.001230589377229642,0.07560120327625339,0.049192671408448664,0.0017214999970747158,Small,0.08,42
Gen1,1,24,0.014447596899750281,0.0556902773265919,0.03593252090474386,0.0035906249977415428,Small,0.08,42
Gen2,2,24,0.015116883289182762,0.0693553166669435,0.04239041334255786,0.005790499999420717,Small,0.08,42
Gen3,3,24,0.015620554897997144,0.07998934861194651,0.0468902839281835,0.003573916997993365,Small,0.08,42
BE,-1,24,0.0014116382123603168,0.07944601514377286,0.049032528181564436,0.001746499998262152,Small,0.08,42
Gen1,1,24,0.017289130947343963,0.06858786743972409,0.038579624277821876,0.003983542002970353,Small,0.08,42
