episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain
480,2.0,11,0.06887777626000048,0.06479910905392886,0.059216011717269076
960,0.0,0,0.09978231475932955,0.08997705331166048,0.09826652620074937
960,0.0,1,0.08976969117609536,0.0752656010328904,0.16157001269786292
960,0.0,2,0.07713166655774173,0.06344181334270949,0.17748680698846106
960,0.0,3,0.08163764683014473,0.06729770952120882,0.17565348666616484
960,0.0,4,0.08221017828440197,0.06613701771096729,0.19551302416387406
960,0.0,5,0.10717107617702239,0.08987619274801245,0.16137640906435147
960,0.0,6,0.0911392148948101,0.07516152284068761,0.1753108370810898
960,0.0,7,0.08283263428599424,0.0656232110995256,0.2077613893945481
960,0.0,8,0.09149595428098412,0.07507748447849334,0.1794447626839286
960,0.0,9,0.09764283249547624,0.08585259694786011,0.1207486022915442
960,0.0,10,0.10346164868572708,0.08709962162676031,0.15814581796069876
960,0.0,11,0.0846067043688474,0.06653574616424443,0.21358778053594515
960,0.5,0,0.08718245869413152,0.07596886914112085,0.12862208431574654
960,0.5,1,0.07143938627415682,0.060558857519731085,0.15230434249071592
960,0.5,2,0.08912826716138665,0.07682781582216489,0.13800842012275466
960,0.5,3,0.07849394617817541,0.06739919192435123,0.14134534946988034
960,0.5,4,0.08791173832814736,0.07259823355774883,0.17419180944003115
960,0.5,5,0.09261020440063839,0.07882725477326578,0.14882754785581265
960,0.5,6,0.08201866706648693,0.07044365600156308,0.14112654446750253
960,0.5,7,0.08799982444654834,0.07589827758821802,0.1375178522734541
960,0.5,8,0.07684217180769835,0.06220045403531105,0.1905427375091504
960,0.5,9,0.07071034518298186,0.05657305363941543,0.19993243572750807
960,0.5,10,0.0814395340159362,0.06877877261228221,0.15546210518808365
960,0.5,11,0.08236533842576355,0.07036908940977138,0.14564681266749688
960,1.0,0,0.07859637081009435,0.0696652646761914,0.1136325512469579
960,1.0,1,0.07950384742163263,0.06554270938323876,0.1756033008610739
960,1.0,2,0.06906376077841776,0.05940319812580905,0.1398788965982231
960,1.0,3,0.07218568104315119,0.061000371874452765,0.15495191022734922
960,1.0,4,0.07616128222747513,0.06598579959274516,0.13360440288200895
960,1.0,5,0.07682728485786819,0.06223313358976429,0.1899605237267376
960,1.0,6,0.0782144688098558,0.0673003474736793,0.13954095069940836
960,1.0,7,0.07582016188642557,0.06549740731266507,0.13614788358304244
960,1.0,8,0.09210735381708104,0.0848460014827131,0.07883575017026873
960,1.0,9,0.06996460225639539,0.05777537053649692,0.17421998163055752
960,1.0,10,0.084958569403596,0.07511443875403032,0.1158697788659918
960,1.0,11,0.07223361085285651,0.05837620879652555,0.19184146954191703
960,1.5,0,0.07734939001562076,0.06840180362920466,0.11567753003105946
960,1.5,1,0.07158169070657962,0.062182072653273704,0.13131316067730045
960,1.5,2,0.09762332555988026,0.0939348673207114,0.037782550614980245
960,1.5,3,0.08438121066324651,0.07741797132094935,0.08252120688439116
960,1.5,4,0.06485763304362853,0.056192839562933944,0.13359712764827447
960,1.5,5,0.08479402110828456,0.07474549582579976,0.11850511570447317
960,1.5,6,0.08345492119292562,0.07780690107368775,0.06767749628786
960,1.5,7,0.07535056321413662,0.06466326287447462,0.1418343789851984
960,1.5,8,0.06763777881861814,0.05866405112898673,0.13267330545693906
960,1.5,9,0.08069917148806695,0.07241426217321459,0.10266411862824956
960,1.5,10,0.08259348320795658,0.07494189908859429,0.09264149933108981
960,1.5,11,0.0717114360911937,0.06295356859958184,0.12212651104176303
960,2.0,0,0.07888756921823796,0.07347099783993327,0.0686619125418867
960,2.0,1,0.06769735571273908,0.05937195485002238,0.12297970541189167
960,2.0,2,0.07266422708274216,0.06788854048337946,0.06572266424749368
960,2.0,3,0.07017905720006479,0.06558853518129908,0.06541156581341867
960,2.0,4,0.07893577268198833,0.07458256922293907,0.055148677350473026
960,2.0,5,0.06504773694728741,0.05776172349063925,0.11201025275564172
960,2.0,6,0.06294948417443395,0.05547440205882672,0.11874731324078319
960,2.0,7,0.07130352518558686,0.06526603105735523,0.0846731506263877
960,2.0,8,0.07270180622350776,0.06298438170287496,0.13366139062292956
960,2.0,9,0.06926925078754467,0.06067160386713784,0.1241192422706668
960,2.0,10,0.06741048912743006,0.05416793512317925,0.19644649038545942
960,2.0,11,0.07170821526904371,0.07078477742933315,0.01287771333097465
